X,Y,wmElementN,wmType,wmLatitude,wmLongitud,icon_url
-92.430428376939,46.7641206926941,KNIFE FALLS,Source,46.76421356200,-92.43041229250,./0.png
-93.3083306185663,46.717333659824,BIG SANDY,Source,46.71742630000,-93.30831909180,./0.png
-92.7199357594385,46.417588273124,STURGEON LAKE B,Source,46.41768264770,-92.71992492680,./0.png
-92.7179857700941,47.8625353543495,COOK,Source,47.86262893680,-92.71797180180,./0.png
-92.0579719257486,47.8538602831975,CLEAR LAKE,Source,47.85395431520,-92.05795288090,./0.png
-92.659808185278,47.7991436037582,POTLATCH,Source,47.79924011230,-92.65979003910,./0.png
-92.366239828584,47.7808370446749,VERMILION,Source,47.78093338010,-92.36622619630,./0.png
-91.9686230116249,47.7255623998432,BABBITT,Source,47.72565841670,-91.96860504150,./0.png
-92.6285127023146,47.6582247127154,SAND LAKE,Source,47.65832138060,-92.62849426270,./0.png
-92.6868962778246,47.4289473437203,IRON,Source,47.42904281620,-92.68688201900,./0.png
-94.2106065334855,47.3424179928674,BENA,Source,47.34251403810,-94.21059417720,./0.png
-93.8817648932718,47.3630253140404,BALL CLUB,Source,47.36312103270,-93.88175201420,./0.png
-93.5762388436518,47.3652952871112,ARBO,Source,47.36539077760,-93.57622528080,./0.png
-92.9731613164366,47.3791385202079,KEEWATIN,Source,47.37923431400,-92.97314453130,./0.png
-92.5686484880913,47.3740075731096,PEARY,Source,47.37410354610,-92.56863403320,./0.png
-93.6353113089208,47.2694256593273,COHASSET,Source,47.26951980590,-93.63529968260,./0.png
-94.1249869255869,47.1746095841572,BOY RIVER,Source,47.17470550540,-94.12497711180,./0.png
-93.4710786804832,47.2232799067281,GUNN,Source,47.22337341310,-93.47106933590,./0.png
-93.3697986057073,47.1692360685966,LAKEHEAD BLACKBERRY,Source,47.16933059690,-93.36978912350,./0.png
-93.1526797398586,47.1677182361821,GOODLAND,Source,47.16781234740,-93.15266418460,./0.png
-93.9295170048552,47.0787935865725,REMER,Source,47.07888793950,-93.92950439450,./0.png
-94.5036274450827,47.0534728518556,ONIGUM,Source,47.05356597900,-94.50361633300,./0.png
-92.9336615864947,47.0330907594951,CEDAR VALLEY,Source,47.03318405150,-92.93364715580,./0.png
-93.6013207223561,46.9676280801905,HILL CITY,Source,46.96772003170,-93.60131073000,./0.png
-92.3342885396206,46.9787397785865,BERGEN LAKE,Source,46.97883224490,-92.33427429200,./0.png
-92.8490007929109,46.8593263321077,GOWAN,Source,46.85942077640,-92.84898376460,./0.png
-92.8293720262656,46.8517590037854,LAKEHEAD GOWAN,Source,46.85185241700,-92.82936096190,./0.png
-92.7011742378019,46.8537296399772,BRANDON,Source,46.85382461550,-92.70115661620,./0.png
-92.4736021069073,46.8654516458007,GRAND LAKE,Source,46.86554336550,-92.47358703610,./0.png
-92.3233154431397,46.8454390104053,SOLWAY,Source,46.84553146360,-92.32330322270,./0.png
-93.2736834344978,46.681674808115,ROUND LAKE,Source,46.68176651000,-93.27367401120,./0.png
-93.0470925808917,46.6792728170712,WRIGHT,Source,46.67936706540,-93.04708099370,./0.png
-92.8950220517036,46.6803630386458,CROMWELL,Source,46.68045425420,-92.89501190190,./0.png
-92.8798801619265,46.4882130802923,KETTLE RIVER,Source,46.48830413820,-92.87986755370,./0.png
-92.719937884788,46.4177546422263,STURGEONLAKE,Source,46.41784667970,-92.71992492680,./0.png
-93.0064749408843,47.6618484256265,SIDE LAKE,Source,47.66194152830,-93.00646209720,./0.png
-92.4642323859474,47.6541607816474,PIKE RIVER,Source,47.65425491330,-92.46421813960,./0.png
-92.9980093822781,47.8624350182418,MEADOWBROOK,Source,47.86252975460,-92.99799346920,./0.png
-92.3462691646319,47.4553369055126,LAKELAND,Source,47.45543289180,-92.34625244140,./0.png
-92.4723380323219,47.1596033445066,COTTON,Source,47.15969848630,-92.47232055660,./0.png
-94.2039927452596,46.9848070213012,LONGVILLE,Source,46.98490142820,-94.20398712160,./0.png
-91.8298356395444,47.9127604230151,WINTON,Source,47.91285705570,-91.82981872560,./0.png
-92.8036567583547,48.0521858456746,ORR,Source,48.05228042600,-92.80364227290,./0.png
-93.5733420312574,47.1088039898461,POKEGAMA,Source,47.10889816280,-93.57333374020,./0.png
-92.4866702020872,47.8557665337089,FRAZER BAY,Source,47.85586166380,-92.48665618900,./0.png
-92.345472343462,47.455371468784,LAKELAND B,Source,47.45546722410,-92.34545898440,./0.png
-93.3910236591145,47.1822134994664,BLACKBERRY,Source,47.18230819700,-93.39101409910,./0.png
-93.270066486099,47.4570844381589,SHOAL LAKE,Source,47.45718002320,-93.27005767820,./0.png
